vehicle_type,level_of_loading,incline,mean_speed_kmh,t_amb,consumption_kwh_per_km
SB,0,-0.04,12.1,-15,2.967
SB,0,-0.04,12.1,-5,1.823
SB,0,-0.04,12.1,5,0.844
SB,0,-0.04,12.1,15,0.034
SB,0,-0.04,12.1,25,-0.181
SB,0,-0.04,12.1,35,0.314
SB,0,-0.04,18,-15,1.658
SB,0,-0.04,18,-5,0.939
SB,0,-0.04,18,5,0.317
SB,0,-0.04,18,15,-0.208
SB,0,-0.04,18,25,-0.353
SB,0,-0.04,18,35,-0.034
SB,0,-0.04,25.2,-15,0.724
SB,0,-0.04,25.2,-5,0.33
SB,0,-0.04,25.2,5,-0.026
SB,0,-0.04,25.2,15,-0.347
SB,0,-0.04,25.2,25,-0.445
SB,0,-0.04,25.2,35,-0.248
SB,0,-0.04,30,-15,0.476
SB,0,-0.04,30,-5,0.153
SB,0,-0.04,30,5,-0.141
SB,0,-0.04,30,15,-0.408
SB,0,-0.04,30,25,-0.492
SB,0,-0.04,30,35,-0.33
SB,0,-0.04,37.1,-15,0.281
SB,0,-0.04,37.1,-5,0.008
SB,0,-0.04,37.1,5,-0.241
SB,0,-0.04,37.1,15,-0.465
SB,0,-0.04,37.1,25,-0.536
SB,0,-0.04,37.1,35,-0.404
SB,0,-0.03,12.1,-15,3.297
SB,0,-0.03,12.1,-5,2.153
SB,0,-0.03,12.1,5,1.175
SB,0,-0.03,12.1,15,0.365
SB,0,-0.03,12.1,25,0.149
SB,0,-0.03,12.1,35,0.644
SB,0,-0.03,18,-15,1.996
SB,0,-0.03,18,-5,1.277
SB,0,-0.03,18,5,0.654
SB,0,-0.03,18,15,0.13
SB,0,-0.03,18,25,-0.015
SB,0,-0.03,18,35,0.304
SB,0,-0.03,25.2,-15,1.072
SB,0,-0.03,25.2,-5,0.678
SB,0,-0.03,25.2,5,0.321
SB,0,-0.03,25.2,15,0.001
SB,0,-0.03,25.2,25,-0.097
SB,0,-0.03,25.2,35,0.099
SB,0,-0.03,30,-15,0.812
SB,0,-0.03,30,-5,0.489
SB,0,-0.03,30,5,0.195
SB,0,-0.03,30,15,-0.072
SB,0,-0.03,30,25,-0.156
SB,0,-0.03,30,35,0.006
SB,0,-0.03,37.1,-15,0.606
SB,0,-0.03,37.1,-5,0.332
SB,0,-0.03,37.1,5,0.084
SB,0,-0.03,37.1,15,-0.14
