line,departure_name,departure_time,arrival_time,arrival_name,distance,pause,rotation_id,vehicle_type
LINE_0,DEPS_1,2022-03-07 21:31:00,2022-03-07 21:31:00,S_0,0.06,0,4454943,CKB
LINE_0,S_0,2022-03-07 21:31:00,2022-03-07 22:04:00,S_2,14519,4,4454943,CKB
LINE_0,S_2,2022-03-07 22:08:00,2022-03-07 22:43:00,S_0,13541,8,4454943,CKB
LINE_0,S_0,2022-03-07 22:51:00,2022-03-07 23:24:00,S_2,14519,4,4454943,CKB
LINE_0,S_2,2022-03-07 23:28:00,2022-03-08 00:03:00,S_0,13541,8,4454943,CKB
LINE_0,S_0,2022-03-08 00:11:00,2022-03-08 00:44:00,S_2,14519,0,4454943,CKB
LINE_1,S_2,2022-03-08 00:44:00,2022-03-08 00:54:00,OPPS_3,4.1,25,4454943,CKB
LINE_1,OPPS_3,2022-03-08 01:19:00,2022-03-08 01:42:00,S_4,8.36,6,4454943,CKB
LINE_1,S_4,2022-03-08 01:48:00,2022-03-08 02:06:00,OPPS_3,9067,13,4454943,CKB
LINE_1,OPPS_3,2022-03-08 02:19:00,2022-03-08 02:42:00,S_4,8.36,6,4454943,CKB
LINE_1,S_4,2022-03-08 02:48:00,2022-03-08 03:06:00,OPPS_3,9067,13,4454943,CKB
LINE_1,OPPS_3,2022-03-08 03:19:00,2022-03-08 03:42:00,S_4,8.36,6,4454943,CKB
LINE_1,S_4,2022-03-08 03:48:00,2022-03-08 04:06:00,OPPS_3,9067,0,4454943,CKB
LINE_1,OPPS_3,2022-03-08 04:06:00,2022-03-08 04:06:00,DEPS_1,0.06,0,4454943,CKB
LINE_0,DEPS_1,2022-03-07 22:11:00,2022-03-07 22:11:00,S_0,0.06,0,4454948,CKB
LINE_0,S_0,2022-03-07 22:11:00,2022-03-07 22:44:00,S_2,14519,4,4454948,CKB
LINE_0,S_2,2022-03-07 22:48:00,2022-03-07 23:23:00,S_0,13541,8,4454948,CKB
LINE_0,S_0,2022-03-07 23:31:00,2022-03-08 00:04:00,S_2,14519,4,4454948,CKB
LINE_0,S_2,2022-03-08 00:08:00,2022-03-08 00:39:00,S_5,12213,0,4454948,CKB
LINE_1,S_5,2022-03-08 00:39:00,2022-03-08 00:47:00,OPPS_3,4.0,2,4454948,CKB
LINE_1,OPPS_3,2022-03-08 00:49:00,2022-03-08 01:12:00,S_4,8.36,6,4454948,CKB
LINE_1,S_4,2022-03-08 01:18:00,2022-03-08 01:36:00,OPPS_3,9067,13,4454948,CKB
LINE_1,OPPS_3,2022-03-08 01:49:00,2022-03-08 02:12:00,S_4,8.36,6,4454948,CKB
LINE_1,S_4,2022-03-08 02:18:00,2022-03-08 02:36:00,OPPS_3,9067,13,4454948,CKB
LINE_1,OPPS_3,2022-03-08 02:49:00,2022-03-08 03:12:00,S_4,8.36,6,4454948,CKB
LINE_1,S_4,2022-03-08 03:18:00,2022-03-08 03:36:00,OPPS_3,9067,13,4454948,CKB
LINE_1,OPPS_3,2022-03-08 03:49:00,2022-03-08 04:12:00,S_4,8.36,0,4454948,CKB
LINE_1,S_4,2022-03-08 04:12:00,2022-03-08 04:12:00,DEPS_1,0.06,0,4454948,CKB
LINE_2,DEPS_1,2022-03-07 21:06:00,2022-03-07 21:06:00,S_6,0.06,0,4664622,CKB
LINE_2,S_6,2022-03-07 21:06:00,2022-03-07 21:34:00,S_7,13018,19,4664622,CKB
LINE_2,S_7,2022-03-07 21:53:00,2022-03-07 22:13:00,S_8,10332,17,4664622,CKB
LINE_2,S_8,2022-03-07 22:30:00,2022-03-07 22:54:00,S_7,10.48,19,4664622,CKB
LINE_2,S_7,2022-03-07 23:13:00,2022-03-07 23:33:00,S_8,10332,17,4664622,CKB
LINE_2,S_8,2022-03-07 23:50:00,2022-03-08 00:14:00,S_7,10.48,2,4664622,CKB
LINE_2,S_7,2022-03-08 00:16:00,2022-03-08 00:23:00,S_9,3709,5,4664622,CKB
LINE_3,S_9,2022-03-08 00:28:00,2022-03-08 00:44:00,OPPS_10,6404,3,4664622,CKB
LINE_3,OPPS_10,2022-03-08 00:47:00,2022-03-08 01:10:00,S_11,10579,7,4664622,CKB
LINE_3,S_11,2022-03-08 01:17:00,2022-03-08 01:44:00,OPPS_10,12007,3,4664622,CKB
LINE_3,OPPS_10,2022-03-08 01:47:00,2022-03-08 02:10:00,S_11,10579,7,4664622,CKB
LINE_3,S_11,2022-03-08 02:17:00,2022-03-08 02:44:00,OPPS_10,12007,3,4664622,CKB
LINE_3,OPPS_10,2022-03-08 02:47:00,2022-03-08 03:10:00,S_11,10579,7,4664622,CKB
LINE_3,S_11,2022-03-08 03:17:00,2022-03-08 03:44:00,OPPS_10,12007,3,4664622,CKB
LINE_3,OPPS_10,2022-03-08 03:47:00,2022-03-08 04:10:00,S_11,10579,7,4664622,CKB
LINE_3,S_11,2022-03-08 04:17:00,2022-03-08 04:44:00,OPPS_10,12007,0,4664622,CKB
LINE_3,OPPS_10,2022-03-08 04:44:00,2022-03-08 04:44:00,DEPS_1,0.06,0,4664622,CKB
LINE_2,DEPS_1,2022-03-07 20:26:00,2022-03-07 20:26:00,S_6,0.06,0,4762732,CKB
LINE_2,S_6,2022-03-07 20:26:00,2022-03-07 20:56:00,S_12,14097,14,4762732,CKB
LINE_2,S_12,2022-03-07 21:10:00,2022-03-07 21:38:00,S_6,13.19,8,4762732,CKB
LINE_2,S_6,2022-03-07 21:46:00,2022-03-07 22:14:00,S_7,13018,19,4762732,CKB
LINE_2,S_7,2022-03-07 22:33:00,2022-03-07 22:53:00,S_8,10332,17,4762732,CKB
LINE_2,S_8,2022-03-07 23:10:00,2022-03-07 23:34:00,S_7,10.48,19,4762732,CKB
LINE_2,S_7,2022-03-07 23:53:00,2022-03-08 00:13:00,S_8,10332,2,4762732,CKB
LINE_2,S_8,2022-03-08 00:15:00,2022-03-08 00:16:00,OPPS_10,506,1,4762732,CKB
LINE_3,OPPS_10,2022-03-08 00:17:00,2022-03-08 00:40:00,S_11,10579,7,4762732,CKB
LINE_3,S_11,2022-03-08 00:47:00,2022-03-08 01:14:00,OPPS_10,12007,3,4762732,CKB
LINE_3,OPPS_10,2022-03-08 01:17:00,2022-03-08 01:40:00,S_11,10579,7,4762732,CKB
LINE_3,S_11,2022-03-08 01:47:00,2022-03-08 02:14:00,OPPS_10,12007,3,4762732,CKB
LINE_3,OPPS_10,2022-03-08 02:17:00,2022-03-08 02:40:00,S_11,10579,7,4762732,CKB
LINE_3,S_11,2022-03-08 02:47:00,2022-03-08 03:14:00,OPPS_10,12007,3,4762732,CKB
LINE_3,OPPS_10,2022-03-08 03:17:00,2022-03-08 03:40:00,S_11,10579,7,4762732,CKB
